HospitalName,City,State,HospitalOwner,Condition,MeasureCode,MeasureName,Score,Sample,EmergencyService
g h lanier memorial hospital,valley,al,voluntary non-profit - other,heart attack,ami-4,heart attack patients given smoking cessation advice/counseling,0.50 ,4 ,yes
georgiana hospital,georgiana,al,voluntary non-profit - private,heart attack,ami-4,heart attack patients given smoking cessation advice/counseling,0.33 ,6 ,no
marshall medical center south,boaz,al,government - hospital district or authority,heart attack,ami-5,heart attack patients given beta blocker at discharge,1.00 ,5 ,yes
mizell memorial hospital,opp,al,voluntary non-profit - private,heart attack,ami-5,heart attack patients given beta blocker at discharge,1.00 ,2 ,no
hartselle medical center,hartselle,al,proprietary,heart attack,ami-5,heart attack patients given beta blocker at discharge,1.00 ,3 ,yes
northwest medical center,winfield,al,proprietary,heart attack,ami-5,heart attack patients given beta blocker at discharge,1.00 ,8 ,yes
prattville baptist hospital,prattville,al,voluntary non-profit - private,heart attack,ami-5,heart attack patients given beta blocker at discharge,1.00 ,5 ,yes
coosa valley medical center,sylacauga,al,voluntary non-profit - other,heart attack,ami-5,heart attack patients given beta blocker at discharge,1.00 ,4 ,no
baptist medical center south,montgomery,al,voluntary non-profit - church,heart attack,ami-5,heart attack patients given beta blocker at discharge,1.00 ,254 ,yes
cullman regional medical center,cullman,al,government - hospital district or authority,heart attack,ami-5,heart attack patients given beta blocker at discharge,1.00 ,23 ,yes
andalusia regional hospital,andalusia,al,proprietary,heart attack,ami-5,heart attack patients given beta blocker at discharge,1.00 ,6 ,no
huntsville hospital,huntsville,al,government - hospital district or authority,heart attack,ami-5,heart attack patients given beta blocker at discharge,1.00 ,301 ,yes
chilton medical center,clanton,al,voluntary non-profit - private,heart attack,ami-5,heart attack patients given beta blocker at discharge,1.00 ,1 ,yes
riverview regional medical center,gadsden,al,proprietary,heart attack,ami-5,heart attack patients given beta blocker at discharge,1.00 ,125 ,yes
medical center enterprise,enterprise,al,proprietary,heart attack,ami-5,heart attack patients given beta blocker at discharge,1.00 ,2 ,yes
st vincents blount,oneonta,al,voluntary non-profit - private,heart attack,ami-5,heart attack patients given beta blocker at discharge,1.00 ,3 ,yes
southeast alabama medical center,dothan,al,government - hospital district or authority,heart attack,ami-5,heart attack patients given beta blocker at discharge,0.99 ,441 ,yes
st vincents east,birmingham,al,voluntary non-profit - private,heart attack,ami-5,heart attack patients given beta blocker at discharge,0.99 ,288 ,yes
east alabama medical center and snf,opelika,al,government - hospital district or authority,heart attack,ami-5,heart attack patients given beta blocker at discharge,0.98 ,281 ,yes
shelby baptist medical center,alabaster,al,voluntary non-profit - church,heart attack,ami-5,heart attack patients given beta blocker at discharge,0.97 ,169 ,yes
university of alabama hospital,birmingham,al,government - state,heart attack,ami-5,heart attack patients given beta blocker at discharge,0.97 ,331 ,yes
eliza coffee memorial hospital,florence,al,voluntary non-profit - other,heart attack,ami-5,heart attack patients given beta blocker at discharge,0.96 ,227 ,yes
st vincents hospital,birmingham,al,voluntary non-profit - other,heart attack,ami-5,heart attack patients given beta blocker at discharge,0.96 ,242 ,yes
univ of south alabama medical center,mobile,al,government - state,heart attack,ami-5,heart attack patients given beta blocker at discharge,0.96 ,96 ,yes
dekalb regional medical center,fort payne,al,voluntary non-profit - church,heart attack,ami-5,heart attack patients given beta blocker at discharge,0.95 ,41 ,yes
jackson hospital & clinic inc,montgomery,al,voluntary non-profit - private,heart attack,ami-5,heart attack patients given beta blocker at discharge,0.95 ,173 ,yes
gadsden regional medical center,gadsden,al,proprietary,heart attack,ami-5,heart attack patients given beta blocker at discharge,0.95 ,117 ,yes
stringfellow memorial hospital,anniston,al,proprietary,heart attack,ami-5,heart attack patients given beta blocker at discharge,0.93 ,67 ,yes
g h lanier memorial hospital,valley,al,voluntary non-profit - other,heart attack,ami-5,heart attack patients given beta blocker at discharge,0.92 ,13 ,yes
helen keller memorial hospital,sheffield,al,government - hospital district or authority,heart attack,ami-5,heart attack patients given beta blocker at discharge,0.86 ,14 ,yes
marshall medical center north,guntersville,al,government - hospital district or authority,heart attack,ami-5,heart attack patients given beta blocker at discharge,0.83 ,6 ,yes
dale medical center,ozark,al,government - hospital district or authority,heart attack,ami-5,heart attack patients given beta blocker at discharge,0.83 ,6 ,yes
fayette medical center,fayette,al,voluntary non-profit - other,heart attack,ami-5,heart attack patients given beta blocker at discharge,0.82 ,11 ,yes
community hospital inc,tallassee,al,voluntary non-profit - private,heart attack,ami-5,heart attack patients given beta blocker at discharge,0.75 ,4 ,no
wedowee hospital,wedowee,al,government - local,heart attack,ami-5,heart attack patients given beta blocker at discharge,0.67 ,3 ,no
georgiana hospital,georgiana,al,voluntary non-profit - private,heart attack,ami-5,heart attack patients given beta blocker at discharge,0.60 ,15 ,no
marion regional medical center,hamilton,al,voluntary non-profit - private,heart attack,ami-5,heart attack patients given beta blocker at discharge,0.33 ,3 ,yes
crenshaw community hospital,luverne,al,government - federal,heart attack,ami-5,heart attack patients given beta blocker at discharge,0.00 ,1 ,yes
dekalb regional medical center,fort payne,al,voluntary non-profit - church,heart attack,ami-7a,heart attack patients given fibrinolytic medication within 30 minutes of arrival,1.00 ,1 ,yes
riverview regional medical center,gadsden,al,proprietary,heart attack,ami-7a,heart attack patients given fibrinolytic medication within 30 minutes of arrival,0.88 ,8 ,yes
gadsden regional medical center,gadsden,al,proprietary,heart attack,ami-7a,heart attack patients given fibrinolytic medication within 30 minutes of arrival,0.68 ,25 ,yes
stringfellow memorial hospital,anniston,al,proprietary,heart attack,ami-7a,heart attack patients given fibrinolytic medication within 30 minutes of arrival,0.00 ,1 ,yes
northwest medical center,winfield,al,proprietary,heart attack,ami-7a,heart attack patients given fibrinolytic medication within 30 minutes of arrival,0.00 ,1 ,yes
dale medical center,ozark,al,government - hospital district or authority,heart attack,ami-7a,heart attack patients given fibrinolytic medication within 30 minutes of arrival,0.00 ,2 ,yes
g h lanier memorial hospital,valley,al,voluntary non-profit - other,heart attack,ami-7a,heart attack patients given fibrinolytic medication within 30 minutes of arrival,0.00 ,2 ,yes
riverview regional medical center,gadsden,al,proprietary,heart attack,ami-8a,heart attack patients given pci within 90 minutes of arrival,1.00 ,16 ,yes
eliza coffee memorial hospital,florence,al,voluntary non-profit - other,heart attack,ami-8a,heart attack patients given pci within 90 minutes of arrival,0.98 ,61 ,yes
university of alabama hospital,birmingham,al,government - state,heart attack,ami-8a,heart attack patients given pci within 90 minutes of arrival,0.98 ,47 ,yes
baptist medical center south,montgomery,al,voluntary non-profit - church,heart attack,ami-8a,heart attack patients given pci within 90 minutes of arrival,0.96 ,27 ,yes
stringfellow memorial hospital,anniston,al,proprietary,heart attack,ami-8a,heart attack patients given pci within 90 minutes of arrival,0.87 ,15 ,yes
st vincents east,birmingham,al,voluntary non-profit - private,heart attack,ami-8a,heart attack patients given pci within 90 minutes of arrival,0.85 ,48 ,yes
east alabama medical center and snf,opelika,al,government - hospital district or authority,heart attack,ami-8a,heart attack patients given pci within 90 minutes of arrival,0.85 ,26 ,yes
shelby baptist medical center,alabaster,al,voluntary non-profit - church,heart attack,ami-8a,heart attack patients given pci within 90 minutes of arrival,0.83 ,36 ,yes
gadsden regional medical center,gadsden,al,proprietary,heart attack,ami-8a,heart attack patients given pci within 90 minutes of arrival,0.83 ,12 ,yes
huntsville hospital,huntsville,al,government - hospital district or authority,heart attack,ami-8a,heart attack patients given pci within 90 minutes of arrival,0.82 ,44 ,yes
southeast alabama medical center,dothan,al,government - hospital district or authority,heart attack,ami-8a,heart attack patients given pci within 90 minutes of arrival,0.72 ,40 ,yes
univ of south alabama medical center,mobile,al,government - state,heart attack,ami-8a,heart attack patients given pci within 90 minutes of arrival,0.50 ,16 ,yes
dekalb regional medical center,fort payne,al,voluntary non-profit - church,heart attack,ami-8a,heart attack patients given pci within 90 minutes of arrival,0.40 ,5 ,yes
jackson hospital & clinic inc,montgomery,al,voluntary non-profit - private,heart attack,ami-8a,heart attack patients given pci within 90 minutes of arrival,0.40 ,15 ,yes
stringfellow memorial hospital,anniston,al,proprietary,children s asthma care,cac-1,children who received reliever medication while hospitalized for asthma,1.00 ,9 ,yes
huntsville hospital,huntsville,al,government - hospital district or authority,children s asthma care,cac-1,children who received reliever medication while hospitalized for asthma,1.00 ,193 ,yes
riverview regional medical center,gadsden,al,proprietary,children s asthma care,cac-1,children who received reliever medication while hospitalized for asthma,1.00 ,4 ,yes
stringfellow memorial hospital,anniston,al,proprietary,children s asthma care,cac-2,children who received systemic corticosteroid medication (oral and iv medication that reduces inflammation and controls symptoms) while hospitalized for asthma,1.00 ,9 ,yes
riverview regional medical center,gadsden,al,proprietary,children s asthma care,cac-2,children who received systemic corticosteroid medication (oral and iv medication that reduces inflammation and controls symptoms) while hospitalized for asthma,1.00 ,4 ,yes
huntsville hospital,huntsville,al,government - hospital district or authority,children s asthma care,cac-2,children who received systemic corticosteroid medication (oral and iv medication that reduces inflammation and controls symptoms) while hospitalized for asthma,0.98 ,193 ,yes
riverview regional medical center,gadsden,al,proprietary,children s asthma care,cac-3,children and their caregivers who received a home management plan of care document while hospitalized for asthma,1.00 ,4 ,yes
stringfellow memorial hospital,anniston,al,proprietary,children s asthma care,cac-3,children and their caregivers who received a home management plan of care document while hospitalized for asthma,0.33 ,9 ,yes
huntsville hospital,huntsville,al,government - hospital district or authority,children s asthma care,cac-3,children and their caregivers who received a home management plan of care document while hospitalized for asthma,0.14 ,193 ,yes
southwest alabama medical center,thomasville,al,government - federal,heart failure,hf-1,heart failure patients given discharge instructions,1.00 ,79 ,yes
baptist medical center south,montgomery,al,voluntary non-profit - church,heart failure,hf-1,heart failure patients given discharge instructions,1.00 ,257 ,yes
elba general hospital,elba,al,voluntary non-profit - other,heart failure,hf-1,heart failure patients given discharge instructions,1.00 ,2 ,yes
andalusia regional hospital,andalusia,al,proprietary,heart failure,hf-1,heart failure patients given discharge instructions,1.00 ,121 ,no
riverview regional medical center,gadsden,al,proprietary,heart failure,hf-1,heart failure patients given discharge instructions,1.00 ,268 ,yes
cullman regional medical center,cullman,al,government - hospital district or authority,heart failure,hf-1,heart failure patients given discharge instructions,0.99 ,158 ,yes
mizell memorial hospital,opp,al,voluntary non-profit - private,heart failure,hf-1,heart failure patients given discharge instructions,0.98 ,59 ,no
hartselle medical center,hartselle,al,proprietary,heart failure,hf-1,heart failure patients given discharge instructions,0.97 ,35 ,yes
prattville baptist hospital,prattville,al,voluntary non-profit - private,heart failure,hf-1,heart failure patients given discharge instructions,0.96 ,75 ,yes
medical center enterprise,enterprise,al,proprietary,heart failure,hf-1,heart failure patients given discharge instructions,0.96 ,70 ,yes
st vincents east,birmingham,al,voluntary non-profit - private,heart failure,hf-1,heart failure patients given discharge instructions,0.94 ,316 ,yes
marshall medical center north,guntersville,al,government - hospital district or authority,heart failure,hf-1,heart failure patients given discharge instructions,0.93 ,55 ,yes
northwest medical center,winfield,al,proprietary,heart failure,hf-1,heart failure patients given discharge instructions,0.90 ,48 ,yes
dekalb regional medical center,fort payne,al,voluntary non-profit - church,heart failure,hf-1,heart failure patients given discharge instructions,0.89 ,76 ,yes
community hospital inc,tallassee,al,voluntary non-profit - private,heart failure,hf-1,heart failure patients given discharge instructions,0.88 ,65 ,no
stringfellow memorial hospital,anniston,al,proprietary,heart failure,hf-1,heart failure patients given discharge instructions,0.87 ,142 ,yes
fayette medical center,fayette,al,voluntary non-profit - other,heart failure,hf-1,heart failure patients given discharge instructions,0.87 ,67 ,yes
shelby baptist medical center,alabaster,al,voluntary non-profit - church,heart failure,hf-1,heart failure patients given discharge instructions,0.86 ,210 ,yes
chilton medical center,clanton,al,voluntary non-profit - private,heart failure,hf-1,heart failure patients given discharge instructions,0.84 ,19 ,yes
univ of south alabama medical center,mobile,al,government - state,heart failure,hf-1,heart failure patients given discharge instructions,0.83 ,146 ,yes
cherokee medical center,centre,al,voluntary non-profit - private,heart failure,hf-1,heart failure patients given discharge instructions,0.83 ,35 ,yes
east alabama medical center and snf,opelika,al,government - hospital district or authority,heart failure,hf-1,heart failure patients given discharge instructions,0.82 ,527 ,yes
helen keller memorial hospital,sheffield,al,government - hospital district or authority,heart failure,hf-1,heart failure patients given discharge instructions,0.80 ,114 ,yes
eliza coffee memorial hospital,florence,al,voluntary non-profit - other,heart failure,hf-1,heart failure patients given discharge instructions,0.79 ,217 ,yes
southeast alabama medical center,dothan,al,government - hospital district or authority,heart failure,hf-1,heart failure patients given discharge instructions,0.78 ,455 ,yes
marshall medical center south,boaz,al,government - hospital district or authority,heart failure,hf-1,heart failure patients given discharge instructions,0.78 ,110 ,yes
coosa valley medical center,sylacauga,al,voluntary non-profit - other,heart failure,hf-1,heart failure patients given discharge instructions,0.77 ,78 ,no
marion regional medical center,hamilton,al,voluntary non-profit - private,heart failure,hf-1,heart failure patients given discharge instructions,0.74 ,38 ,yes
huntsville hospital,huntsville,al,government - hospital district or authority,heart failure,hf-1,heart failure patients given discharge instructions,0.72 ,264 ,yes
dale medical center,ozark,al,government - hospital district or authority,heart failure,hf-1,heart failure patients given discharge instructions,0.66 ,79 ,yes
g h lanier memorial hospital,valley,al,voluntary non-profit - other,heart failure,hf-1,heart failure patients given discharge instructions,0.54 ,137 ,yes
georgiana hospital,georgiana,al,voluntary non-profit - private,heart failure,hf-1,heart failure patients given discharge instructions,0.53 ,51 ,no
st vincents blount,oneonta,al,voluntary non-profit - private,heart failure,hf-1,heart failure patients given discharge instructions,0.50 ,24 ,yes
gadsden regional medical center,gadsden,al,proprietary,heart failure,hf-1,heart failure patients given discharge instructions,0.47 ,211 ,yes
university of alabama hospital,birmingham,al,government - state,heart failure,hf-1,heart failure patients given discharge instructions,0.46 ,618 ,yes
jackson hospital & clinic inc,montgomery,al,voluntary non-profit - private,heart failure,hf-1,heart failure patients given discharge instructions,0.45 ,430 ,yes
crenshaw community hospital,luverne,al,government - federal,heart failure,hf-1,heart failure patients given discharge instructions,0.04 ,26 ,yes
wedowee hospital,wedowee,al,government - local,heart failure,hf-1,heart failure patients given discharge instructions,0.00 ,34 ,no
dekalb regional medical center,fort payne,al,voluntary non-profit - church,heart failure,hf-2,heart failure patients given an evaluation of left ventricular systolic (lvs) function,1.00 ,94 ,yes
shelby baptist medical center,alabaster,al,voluntary non-profit - church,heart failure,hf-2,heart failure patients given an evaluation of left ventricular systolic (lvs) function,1.00 ,246 ,yes
stringfellow memorial hospital,anniston,al,proprietary,heart failure,hf-2,heart failure patients given an evaluation of left ventricular systolic (lvs) function,1.00 ,157 ,yes
flowers hospital,dothan,al,proprietary,heart failure,hf-2,heart failure patients given an evaluation of left ventricular systolic (lvs) function,1.00 ,342 ,yes
northwest medical center,winfield,al,proprietary,heart failure,hf-2,heart failure patients given an evaluation of left ventricular systolic (lvs) function,1.00 ,59 ,yes
baptist medical center south,montgomery,al,voluntary non-profit - church,heart failure,hf-2,heart failure patients given an evaluation of left ventricular systolic (lvs) function,1.00 ,292 ,yes
elba general hospital,elba,al,voluntary non-profit - other,heart failure,hf-2,heart failure patients given an evaluation of left ventricular systolic (lvs) function,1.00 ,3 ,yes
east alabama medical center and snf,opelika,al,government - hospital district or authority,heart failure,hf-2,heart failure patients given an evaluation of left ventricular systolic (lvs) function,1.00 ,570 ,yes
community hospital inc,tallassee,al,voluntary non-profit - private,heart failure,hf-2,heart failure patients given an evaluation of left ventricular systolic (lvs) function,1.00 ,87 ,no
cullman regional medical center,cullman,al,government - hospital district or authority,heart failure,hf-2,heart failure patients given an evaluation of left ventricular systolic (lvs) function,1.00 ,200 ,yes
gadsden regional medical center,gadsden,al,proprietary,heart failure,hf-2,heart failure patients given an evaluation of left ventricular systolic (lvs) function,1.00 ,259 ,yes
riverview regional medical center,gadsden,al,proprietary,heart failure,hf-2,heart failure patients given an evaluation of left ventricular systolic (lvs) function,1.00 ,350 ,yes
helen keller memorial hospital,sheffield,al,government - hospital district or authority,heart failure,hf-2,heart failure patients given an evaluation of left ventricular systolic (lvs) function,0.99 ,149 ,yes
southeast alabama medical center,dothan,al,government - hospital district or authority,heart failure,hf-2,heart failure patients given an evaluation of left ventricular systolic (lvs) function,0.99 ,514 ,yes
marshall medical center south,boaz,al,government - hospital district or authority,heart failure,hf-2,heart failure patients given an evaluation of left ventricular systolic (lvs) function,0.99 ,160 ,yes
coosa valley medical center,sylacauga,al,voluntary non-profit - other,heart failure,hf-2,heart failure patients given an evaluation of left ventricular systolic (lvs) function,0.99 ,105 ,no
g h lanier memorial hospital,valley,al,voluntary non-profit - other,heart failure,hf-2,heart failure patients given an evaluation of left ventricular systolic (lvs) function,0.99 ,164 ,yes
medical center enterprise,enterprise,al,proprietary,heart failure,hf-2,heart failure patients given an evaluation of left ventricular systolic (lvs) function,0.99 ,82 ,yes
hartselle medical center,hartselle,al,proprietary,heart failure,hf-2,heart failure patients given an evaluation of left ventricular systolic (lvs) function,0.98 ,42 ,yes
st vincents east,birmingham,al,voluntary non-profit - private,heart failure,hf-2,heart failure patients given an evaluation of left ventricular systolic (lvs) function,0.98 ,372 ,yes
univ of south alabama medical center,mobile,al,government - state,heart failure,hf-2,heart failure patients given an evaluation of left ventricular systolic (lvs) function,0.98 ,150 ,yes
eliza coffee memorial hospital,florence,al,voluntary non-profit - other,heart failure,hf-2,heart failure patients given an evaluation of left ventricular systolic (lvs) function,0.97 ,259 ,yes
dale medical center,ozark,al,government - hospital district or authority,heart failure,hf-2,heart failure patients given an evaluation of left ventricular systolic (lvs) function,0.96 ,94 ,yes
university of alabama hospital,birmingham,al,government - state,heart failure,hf-2,heart failure patients given an evaluation of left ventricular systolic (lvs) function,0.96 ,681 ,yes
huntsville hospital,huntsville,al,government - hospital district or authority,heart failure,hf-2,heart failure patients given an evaluation of left ventricular systolic (lvs) function,0.95 ,303 ,yes
prattville baptist hospital,prattville,al,voluntary non-profit - private,heart failure,hf-2,heart failure patients given an evaluation of left ventricular systolic (lvs) function,0.94 ,93 ,yes
cherokee medical center,centre,al,voluntary non-profit - private,heart failure,hf-2,heart failure patients given an evaluation of left ventricular systolic (lvs) function,0.94 ,48 ,yes
fayette medical center,fayette,al,voluntary non-profit - other,heart failure,hf-2,heart failure patients given an evaluation of left ventricular systolic (lvs) function,0.94 ,85 ,yes
andalusia regional hospital,andalusia,al,proprietary,heart failure,hf-2,heart failure patients given an evaluation of left ventricular systolic (lvs) function,0.91 ,139 ,no
jackson hospital & clinic inc,montgomery,al,voluntary non-profit - private,heart failure,hf-2,heart failure patients given an evaluation of left ventricular systolic (lvs) function,0.90 ,518 ,yes
southwest alabama medical center,thomasville,al,government - federal,heart failure,hf-2,heart failure patients given an evaluation of left ventricular systolic (lvs) function,0.89 ,91 ,yes
chilton medical center,clanton,al,voluntary non-profit - private,heart failure,hf-2,heart failure patients given an evaluation of left ventricular systolic (lvs) function,0.89 ,28 ,yes
mizell memorial hospital,opp,al,voluntary non-profit - private,heart failure,hf-2,heart failure patients given an evaluation of left ventricular systolic (lvs) function,0.87 ,76 ,no
st vincents blount,oneonta,al,voluntary non-profit - private,heart failure,hf-2,heart failure patients given an evaluation of left ventricular systolic (lvs) function,0.85 ,34 ,yes
marshall medical center north,guntersville,al,government - hospital district or authority,heart failure,hf-2,heart failure patients given an evaluation of left ventricular systolic (lvs) function,0.84 ,80 ,yes
marion regional medical center,hamilton,al,voluntary non-profit - private,heart failure,hf-2,heart failure patients given an evaluation of left ventricular systolic (lvs) function,0.80 ,46 ,yes
crenshaw community hospital,luverne,al,government - federal,heart failure,hf-2,heart failure patients given an evaluation of left ventricular systolic (lvs) function,0.72 ,39 ,yes
georgiana hospital,georgiana,al,voluntary non-profit - private,heart failure,hf-2,heart failure patients given an evaluation of left ventricular systolic (lvs) function,0.63 ,59 ,no
wedowee hospital,wedowee,al,government - local,heart failure,hf-2,heart failure patients given an evaluation of left ventricular systolic (lvs) function,0.38 ,39 ,no
hartselle medical center,hartselle,al,proprietary,heart failure,hf-3,heart failure patients given ace inhibitor or arb for left ventricular systolic dysfunction (lvsd),1.00 ,10 ,yes
flowers hospital,dothan,al,proprietary,heart failure,hf-3,heart failure patients given ace inhibitor or arb for left ventricular systolic dysfunction (lvsd),1.00 ,94 ,yes
baptist medical center south,montgomery,al,voluntary non-profit - church,heart failure,hf-3,heart failure patients given ace inhibitor or arb for left ventricular systolic dysfunction (lvsd),1.00 ,98 ,yes
community hospital inc,tallassee,al,voluntary non-profit - private,heart failure,hf-3,heart failure patients given ace inhibitor or arb for left ventricular systolic dysfunction (lvsd),1.00 ,30 ,no
riverview regional medical center,gadsden,al,proprietary,heart failure,hf-3,heart failure patients given ace inhibitor or arb for left ventricular systolic dysfunction (lvsd),1.00 ,90 ,yes
medical center enterprise,enterprise,al,proprietary,heart failure,hf-3,heart failure patients given ace inhibitor or arb for left ventricular systolic dysfunction (lvsd),1.00 ,34 ,yes
st vincents blount,oneonta,al,voluntary non-profit - private,heart failure,hf-3,heart failure patients given ace inhibitor or arb for left ventricular systolic dysfunction (lvsd),1.00 ,7 ,yes
st vincents east,birmingham,al,voluntary non-profit - private,heart failure,hf-3,heart failure patients given ace inhibitor or arb for left ventricular systolic dysfunction (lvsd),0.98 ,130 ,yes
huntsville hospital,huntsville,al,government - hospital district or authority,heart failure,hf-3,heart failure patients given ace inhibitor or arb for left ventricular systolic dysfunction (lvsd),0.98 ,102 ,yes
shelby baptist medical center,alabaster,al,voluntary non-profit - church,heart failure,hf-3,heart failure patients given ace inhibitor or arb for left ventricular systolic dysfunction (lvsd),0.97 ,71 ,yes
cullman regional medical center,cullman,al,government - hospital district or authority,heart failure,hf-3,heart failure patients given ace inhibitor or arb for left ventricular systolic dysfunction (lvsd),0.97 ,37 ,yes
univ of south alabama medical center,mobile,al,government - state,heart failure,hf-3,heart failure patients given ace inhibitor or arb for left ventricular systolic dysfunction (lvsd),0.96 ,84 ,yes
g h lanier memorial hospital,valley,al,voluntary non-profit - other,heart failure,hf-3,heart failure patients given ace inhibitor or arb for left ventricular systolic dysfunction (lvsd),0.96 ,75 ,yes
dekalb regional medical center,fort payne,al,voluntary non-profit - church,heart failure,hf-3,heart failure patients given ace inhibitor or arb for left ventricular systolic dysfunction (lvsd),0.94 ,36 ,yes
prattville baptist hospital,prattville,al,voluntary non-profit - private,heart failure,hf-3,heart failure patients given ace inhibitor or arb for left ventricular systolic dysfunction (lvsd),0.94 ,18 ,yes
dale medical center,ozark,al,government - hospital district or authority,heart failure,hf-3,heart failure patients given ace inhibitor or arb for left ventricular systolic dysfunction (lvsd),0.94 ,18 ,yes
university of alabama hospital,birmingham,al,government - state,heart failure,hf-3,heart failure patients given ace inhibitor or arb for left ventricular systolic dysfunction (lvsd),0.94 ,343 ,yes
gadsden regional medical center,gadsden,al,proprietary,heart failure,hf-3,heart failure patients given ace inhibitor or arb for left ventricular systolic dysfunction (lvsd),0.93 ,69 ,yes
helen keller memorial hospital,sheffield,al,government - hospital district or authority,heart failure,hf-3,heart failure patients given ace inhibitor or arb for left ventricular systolic dysfunction (lvsd),0.92 ,37 ,yes
east alabama medical center and snf,opelika,al,government - hospital district or authority,heart failure,hf-3,heart failure patients given ace inhibitor or arb for left ventricular systolic dysfunction (lvsd),0.92 ,272 ,yes
southeast alabama medical center,dothan,al,government - hospital district or authority,heart failure,hf-3,heart failure patients given ace inhibitor or arb for left ventricular systolic dysfunction (lvsd),0.91 ,165 ,yes
marshall medical center south,boaz,al,government - hospital district or authority,heart failure,hf-3,heart failure patients given ace inhibitor or arb for left ventricular systolic dysfunction (lvsd),0.90 ,69 ,yes
stringfellow memorial hospital,anniston,al,proprietary,heart failure,hf-3,heart failure patients given ace inhibitor or arb for left ventricular systolic dysfunction (lvsd),0.90 ,49 ,yes
cherokee medical center,centre,al,voluntary non-profit - private,heart failure,hf-3,heart failure patients given ace inhibitor or arb for left ventricular systolic dysfunction (lvsd),0.90 ,10 ,yes
fayette medical center,fayette,al,voluntary non-profit - other,heart failure,hf-3,heart failure patients given ace inhibitor or arb for left ventricular systolic dysfunction (lvsd),0.89 ,19 ,yes
southwest alabama medical center,thomasville,al,government - federal,heart failure,hf-3,heart failure patients given ace inhibitor or arb for left ventricular systolic dysfunction (lvsd),0.88 ,25 ,yes
andalusia regional hospital,andalusia,al,proprietary,heart failure,hf-3,heart failure patients given ace inhibitor or arb for left ventricular systolic dysfunction (lvsd),0.86 ,21 ,no
northwest medical center,winfield,al,proprietary,heart failure,hf-3,heart failure patients given ace inhibitor or arb for left ventricular systolic dysfunction (lvsd),0.85 ,13 ,yes
coosa valley medical center,sylacauga,al,voluntary non-profit - other,heart failure,hf-3,heart failure patients given ace inhibitor or arb for left ventricular systolic dysfunction (lvsd),0.85 ,46 ,no
jackson hospital & clinic inc,montgomery,al,voluntary non-profit - private,heart failure,hf-3,heart failure patients given ace inhibitor or arb for left ventricular systolic dysfunction (lvsd),0.85 ,146 ,yes
eliza coffee memorial hospital,florence,al,voluntary non-profit - other,heart failure,hf-3,heart failure patients given ace inhibitor or arb for left ventricular systolic dysfunction (lvsd),0.82 ,84 ,yes
marshall medical center north,guntersville,al,government - hospital district or authority,heart failure,hf-3,heart failure patients given ace inhibitor or arb for left ventricular systolic dysfunction (lvsd),0.78 ,27 ,yes
marion regional medical center,hamilton,al,voluntary non-profit - private,heart failure,hf-3,heart failure patients given ace inhibitor or arb for left ventricular systolic dysfunction (lvsd),0.78 ,18 ,yes
crenshaw community hospital,luverne,al,government - federal,heart failure,hf-3,heart failure patients given ace inhibitor or arb for left ventricular systolic dysfunction (lvsd),0.75 ,8 ,yes
chilton medical center,clanton,al,voluntary non-profit - private,heart failure,hf-3,heart failure patients given ace inhibitor or arb for left ventricular systolic dysfunction (lvsd),0.75 ,4 ,yes
georgiana hospital,georgiana,al,voluntary non-profit - private,heart failure,hf-3,heart failure patients given ace inhibitor or arb for left ventricular systolic dysfunction (lvsd),0.67 ,6 ,no
mizell memorial hospital,opp,al,voluntary non-profit - private,heart failure,hf-3,heart failure patients given ace inhibitor or arb for left ventricular systolic dysfunction (lvsd),0.64 ,14 ,no
wedowee hospital,wedowee,al,government - local,heart failure,hf-3,heart failure patients given ace inhibitor or arb for left ventricular systolic dysfunction (lvsd),0.25 ,4 ,no
helen keller memorial hospital,sheffield,al,government - hospital district or authority,heart failure,hf-4,heart failure patients given smoking cessation advice/counseling,1.00 ,41 ,yes
southeast alabama medical center,dothan,al,government - hospital district or authority,heart failure,hf-4,heart failure patients given smoking cessation advice/counseling,1.00 ,110 ,yes
eliza coffee memorial hospital,florence,al,voluntary non-profit - other,heart failure,hf-4,heart failure patients given smoking cessation advice/counseling,1.00 ,53 ,yes
mizell memorial hospital,opp,al,voluntary non-profit - private,heart failure,hf-4,heart failure patients given smoking cessation advice/counseling,1.00 ,8 ,no
hartselle medical center,hartselle,al,proprietary,heart failure,hf-4,heart failure patients given smoking cessation advice/counseling,1.00 ,12 ,yes
marshall medical center north,guntersville,al,government - hospital district or authority,heart failure,hf-4,heart failure patients given smoking cessation advice/counseling,1.00 ,10 ,yes
st vincents east,birmingham,al,voluntary non-profit - private,heart failure,hf-4,heart failure patients given smoking cessation advice/counseling,1.00 ,69 ,yes
dekalb regional medical center,fort payne,al,voluntary non-profit - church,heart failure,hf-4,heart failure patients given smoking cessation advice/counseling,1.00 ,15 ,yes
shelby baptist medical center,alabaster,al,voluntary non-profit - church,heart failure,hf-4,heart failure patients given smoking cessation advice/counseling,1.00 ,48 ,yes
stringfellow memorial hospital,anniston,al,proprietary,heart failure,hf-4,heart failure patients given smoking cessation advice/counseling,1.00 ,41 ,yes
flowers hospital,dothan,al,proprietary,heart failure,hf-4,heart failure patients given smoking cessation advice/counseling,1.00 ,62 ,yes
northwest medical center,winfield,al,proprietary,heart failure,hf-4,heart failure patients given smoking cessation advice/counseling,1.00 ,14 ,yes
